species,method,p_hat,lcl,ucl,n_sites_available,n_sites_detected,n_rep,AIC,any_se_bad,mean_BL,pct_winged,genus,pct_winged_gn,wing_imputed_genus,full_wing,log_BL,p_clip,lcl_clip,ucl_clip,logit_p,se_logit,weight
Abax parallelepipedus,Pitfall10,0.9998943992034114,7.843628939908661e-20,1,77,15,6,NA,FALSE,18.547857142857143,0,Abax,0,FALSE,not_fully_winged,1.2682937422643228,0.9998943992034114,1e-5,0.99999,9.155739036895055,5.873936461695155,0.02898287815822728
Abax parallelepipedus,Pitfall8,0.9148777824262588,0.5733478411477351,0.988500451153443,77,15,6,NA,FALSE,18.547857142857143,0,Abax,0,FALSE,not_fully_winged,1.2682937422643228,0.9148777824262588,0.5733478411477351,0.988500451153443,2.3747024076581966,1.060805554841303,0.88864526170958
Abax parallelepipedus,Pitfall6,0.9284485641723276,0.6069388300318008,0.990912568999594,77,15,6,NA,FALSE,18.547857142857143,0,Abax,0,FALSE,not_fully_winged,1.2682937422643228,0.9284485641723276,0.6069388300318008,0.990912568999594,2.563098409293401,1.086038594944242,0.8478313700770738
Abax parallelepipedus,Pitfall4,0.924273609710306,0.5996852565041931,0.9900443449924028,77,15,6,NA,FALSE,18.547857142857143,0,Abax,0,FALSE,not_fully_winged,1.2682937422643228,0.924273609710306,0.5996852565041931,0.9900443449924028,2.501881425750157,1.0702691719896746,0.8729994449936515
Abax parallelepipedus,Pitfall2,0.9133424661911802,0.5714565138447109,0.9881381803035872,77,15,6,NA,FALSE,18.547857142857143,0,Abax,0,FALSE,not_fully_winged,1.2682937422643228,0.9133424661911802,0.5714565138447109,0.9881381803035872,2.355146952477761,1.0547708065799686,0.8988429114556451
Abax parallelepipedus,GPD,0.8041691983363476,0.4622477848846625,0.9514971501412745,77,15,6,NA,FALSE,18.547857142857143,0,Abax,0,FALSE,not_fully_winged,1.2682937422643228,0.8041691983363476,0.4622477848846625,0.9514971501412745,1.4125586631386777,0.7978854450408313,1.5707928451999187
Agonum muelleri,Pitfall10,0.7681390976836889,0.520480383742796,0.9100052476377332,77,18,6,NA,FALSE,7.5,1,Agonum,1,FALSE,fully_winged,0.8750612633917001,0.7681390976836889,0.520480383742796,0.9100052476377332,1.1978332006461132,0.5693192877237807,3.0852346861210926
Agonum muelleri,Pitfall8,0.7155279441219939,0.4700208032425881,0.8770549405430943,77,18,6,NA,FALSE,7.5,1,Agonum,1,FALSE,fully_winged,0.8750612633917001,0.7155279441219939,0.4700208032425881,0.8770549405430943,0.9223856267381396,0.5318604210051053,3.535124016494607
Agonum muelleri,Pitfall6,0.717676906859137,0.4742231513986375,0.8775180195894353,77,18,6,NA,FALSE,7.5,1,Agonum,1,FALSE,fully_winged,0.8750612633917001,0.717676906859137,0.4742231513986375,0.8775180195894353,0.9329673418661513,0.5286562387409396,3.5781066121115033
Agonum muelleri,Pitfall4,0.5966383141362506,0.3540674342728723,0.7996587031746307,77,18,6,NA,FALSE,7.5,1,Agonum,1,FALSE,fully_winged,0.8750612633917001,0.5966383141362506,0.3540674342728723,0.7996587031746307,0.39147744784824456,0.5064720262623076,3.8984240145065474
Agonum muelleri,Pitfall2,0.5163745782255829,0.28449936141119847,0.74140712174083645,77,18,6,NA,FALSE,7.5,1,Agonum,1,FALSE,fully_winged,0.8750612633917001,0.5163745782255829,0.28449936141119847,0.74140712174083645,0.06552174378716905,0.5039659317994016,3.937292158686702
Agonum muelleri,GPD,0.7705827667462328,0.5233502594809243,0.9113103619312972,77,18,6,NA,FALSE,7.5,1,Agonum,1,FALSE,fully_winged,0.8750612633917001,0.7705827667462328,0.5233502594809243,0.9113103619312972,1.2116047434815582,0.5704774060857066,3.072720815858532
Amara aenea,Pitfall10,0.8352555573674625,0.6673134296729469,0.9276155290447688,77,32,6,NA,FALSE,7.055555555555555,1,Amara,1,FALSE,fully_winged,0.8485312158526508,0.8352555573674625,0.6673134296729469,0.9276155290447688,1.6233422940630768,0.4731037068682381,4.467733898294791
Amara aenea,Pitfall8,0.6652741952486126,0.48755346751525486,0.8058977152583341,77,32,6,NA,FALSE,7.055555555555555,1,Amara,1,FALSE,fully_winged,0.8485312158526508,0.6652741952486126,0.48755346751525486,0.8058977152583341,0.6868875759588172,0.37585918025088155,7.078637549697287
Amara aenea,Pitfall6,0.5577202575983449,0.3841796094864856,0.7182252036985246,77,32,6,NA,FALSE,7.055555555555555,1,Amara,1,FALSE,fully_winged,0.8485312158526508,0.5577202575983449,0.3841796094864856,0.7182252036985246,0.23191492296295133,0.3590612723808199,7.756447708034301
Amara aenea,Pitfall4,0.35722965514958976,0.20965228258820032,0.5379780532885221,77,32,6,NA,FALSE,7.055555555555555,1,Amara,1,FALSE,fully_winged,0.8485312158526508,0.35722965514958976,0.20965228258820032,0.5379780532885221,-0.5874086317738618,0.3773540838273473,7.022664018382073
Amara aenea,Pitfall2,0.3157955364708493,0.17371318927848745,0.5033031226664076,77,32,6,NA,FALSE,7.055555555555555,1,Amara,1,FALSE,fully_winged,0.8485312158526508,0.3157955364708493,0.17371318927848745,0.5033031226664076,-0.7731618285583051,0.4012114854273355,6.212312384183277
Amara aenea,GPD,0.6984892031537118,0.5224449458758688,0.8306706327864707,77,32,6,NA,FALSE,7.055555555555555,1,Amara,1,FALSE,fully_winged,0.8485312158526508,0.6984892031537118,0.5224449458758688,0.8306706327864707,0.8401138954273677,0.38279272130321335,6.8245285918005365
Amara convexior,Pitfall10,0.9306583311017352,0.6804769709470924,0.9883153728393196,77,16,6,NA,FALSE,7.6,1,Amara,1,FALSE,fully_winged,0.8808135922807914,0.9306583311017352,0.6804769709470924,0.9883153728393196,2.5968462103204404,0.9392252958190737,1.133601569370522
Amara convexior,Pitfall8,0.8962235364413401,0.6439523590343345,0.9763241967426708,77,16,6,NA,FALSE,7.6,1,Amara,1,FALSE,fully_winged,0.8808135922807914,0.8962235364413401,0.6439523590343345,0.9763241967426708,2.15595066746395,0.7976481967278399,1.5717274010011255
Amara convexior,Pitfall6,0.7595707553942759,0.4931915549016449,0.9111607460191165,77,16,6,NA,FALSE,7.6,1,Amara,1,FALSE,fully_winged,0.8808135922807914,0.7595707553942759,0.4931915549016449,0.9111607460191165,1.1503276331529053,0.6007974984490118,2.7704082291412813
Amara convexior,Pitfall4,0.7241226561626525,0.4557537195353673,0.8916259614269962,77,16,6,NA,FALSE,7.6,1,Amara,1,FALSE,fully_winged,0.8808135922807914,0.7241226561626525,0.4557537195353673,0.8916259614269962,0.9650044320730408,0.5828845525756078,2.9433025597275244
Amara convexior,Pitfall2,0.4813493866874139,0.23740081148192385,0.7345260063445666,77,16,6,NA,FALSE,7.6,1,Amara,1,FALSE,fully_winged,0.8808135922807914,0.4813493866874139,0.23740081148192385,0.7345260063445666,-0.07463708232225644,0.5573191839931844,3.219526579669773
Amara convexior,GPD,0.7385297026722292,0.47339471618506224,0.8987309617615896,77,16,6,NA,FALSE,7.6,1,Amara,1,FALSE,fully_winged,0.8808135922807914,0.7385297026722292,0.47339471618506224,0.8987309617615896,1.0383406301274927,0.5841134568209981,2.930930880684117
