species,method,p_hat,lcl,ucl,n_sites,n_rep,AIC,any_se_bad
Abax parallelepipedus,Pitfall10,0.9999978494086709,9.883332787580789e-163,1,12,6,NA,TRUE
Abax parallelepipedus,Pitfall8,0.9160118835281003,0.5745436615444045,0.9887746770861535,12,6,NA,TRUE
Abax parallelepipedus,Pitfall6,0.9306452914836226,0.6136672972775487,0.9912553868628521,12,6,NA,TRUE
Abax parallelepipedus,Pitfall4,0.9260134642336167,0.6043346417296774,0.990343800448878,12,6,NA,TRUE
Abax parallelepipedus,Pitfall2,0.9218610433483815,0.5917125964648013,0.9896949411913057,12,6,NA,TRUE
Abax parallelepipedus,GPD,0.7934555322494345,0.44218026790359355,0.9490241252081428,12,6,NA,TRUE
Agonum muelleri,Pitfall10,0.9999994661946002,8.185265528046057e-226,1,14,6,NA,TRUE
Agonum muelleri,Pitfall8,0.9549413601859639,0.7099206905295742,0.9945807910628491,14,6,NA,TRUE
Agonum muelleri,Pitfall6,0.9530970497086118,0.7023191420742589,0.9943188618861856,14,6,NA,TRUE
Agonum muelleri,Pitfall4,0.8863547779917801,0.6201064839813889,0.9738668854285056,14,6,NA,TRUE
Agonum muelleri,Pitfall2,0.7761427921005256,0.4875041015858835,0.9266715323616184,14,6,NA,TRUE
Agonum muelleri,GPD,0.802473614635512,0.5204429993227531,0.9383029062889526,14,6,NA,TRUE
Amara aenea,Pitfall10,0.9999999882287444,0,1,27,6,NA,TRUE
Amara aenea,Pitfall8,0.7815506831376814,0.5900843234714133,0.8989069340796386,27,6,NA,TRUE
Amara aenea,Pitfall6,0.6652751315239626,0.4713919446233686,0.8158291201360984,27,6,NA,TRUE
Amara aenea,Pitfall4,0.41158736777945554,0.24470192114795006,0.6016290295631215,27,6,NA,TRUE
Amara aenea,Pitfall2,0.34519782732585746,0.19031216589514918,0.5417902994456505,27,6,NA,TRUE
Amara aenea,GPD,0.6549484478768941,0.4559210934400893,0.8113031343434661,27,6,NA,TRUE
Amara convexior,Pitfall10,0.9999985979443473,1.0215431045796604e-154,1,14,6,NA,TRUE
Amara convexior,Pitfall8,0.9441796697308144,0.6684317754472165,0.9930030258618905,14,6,NA,TRUE
Amara convexior,Pitfall6,0.8059014485570598,0.527313715543165,0.9392221794998972,14,6,NA,TRUE
Amara convexior,Pitfall4,0.7601913521435504,0.47623382607150067,0.9170249057856266,14,6,NA,TRUE
Amara convexior,Pitfall2,0.47794910486019515,0.23259424840894738,0.7344265414999015,14,6,NA,TRUE
Amara convexior,GPD,0.7045947731454557,0.4222275131065686,0.8861682588528468,14,6,NA,TRUE
Amara familiaris,Pitfall10,0.9999999999994948,NA,NA,7,6,NA,TRUE
Amara familiaris,Pitfall8,0.8785458241866222,0.43474365519551816,0.9855140595419741,7,6,NA,TRUE
Amara familiaris,Pitfall6,0.4929256350020319,0.14095191585940658,0.8520546085591257,7,6,NA,TRUE
Amara familiaris,Pitfall4,0.4552118914251735,0.1485534365713935,0.8000687595359195,7,6,NA,TRUE
Amara familiaris,Pitfall2,0.309856675520154,0.07625811560070837,0.7094532199821544,7,6,NA,TRUE
Amara familiaris,GPD,0.2960239428534818,0.0746615525134083,0.686667719202942,7,6,NA,TRUE
Amara lunicollis,Pitfall10,0.9999994979225676,0,1,7,6,NA,TRUE
Amara lunicollis,Pitfall8,0.5230295457545029,0.18797800422431737,0.8385622617067954,7,6,NA,TRUE
Amara lunicollis,Pitfall6,0.49656476145232226,0.1625663164585089,0.8336574979700272,7,6,NA,TRUE
Amara lunicollis,Pitfall4,0.42066257423795933,0.13262383261956337,0.7751891792386391,7,6,NA,TRUE
